Ind	Poss_Paralogs	Low_Coverage/Errors	Miss_Genotype	Total_Failed	Total_Loci	Prop_Success
ONC_BMAG001_F020091USR	2	2903	72	2977	15884	0.812578695542684
ONC_BMAG001_F020093USR	1	2924	26	2951	15884	0.814215562830521
ONC_BMAG001_F020137BTC	2	2907	82	2991	15884	0.811697305464618
ONC_BMAG001_F020177BTC	1	2923	15	2939	15884	0.814971040040292
ONC_BMAG001_F050084MKH	1	2924	10	2935	15884	0.815222865776882
ONC_BMAG001_F050090MKH	3	2921	22	2946	15884	0.814530345001259
ONC_BMAG001_F102938FRH	8	2747	587	3342	15884	0.789599597078821
ONC_BMAG001_F104955FRH	4	2928	1	2933	15884	0.815348778645178
ONC_BMAG001_FEM75	2	2896	82	2980	15884	0.812389826240242
ONC_BMAG001_FEM84	0	2920	15	2935	15884	0.815222865776882
ONC_BMAG001_L000001BUT	1	2931	8	2940	15884	0.814908083606145
ONC_BMAG001_L001839COL	1	2927	9	2937	15884	0.815096952908587
ONC_BMAG001_L001919COL	3	2911	26	2940	15884	0.814908083606145
ONC_BMAG001_L030007BTC	2	2924	11	2937	15884	0.815096952908587
ONC_BMAG001_L030015BTC	2	2712	737	3451	15884	0.782737345756736
ONC_BMAG001_L030085USR	8	2933	9	2950	15884	0.814278519264669
ONC_BMAG001_S050007DER	1	2119	2770	4890	15884	0.692143037018383
ONC_BMAG001_S050014MIL	2	2929	11	2942	15884	0.814782170737849
ONC_BMAG001_S050016MIL	0	2882	154	3036	15884	0.808864265927978
ONC_BMAG001_S080051BUT	0	2600	1139	3739	15884	0.764605892722236
ONC_BMAG001_S080058BUT	3	2789	524	3316	15884	0.791236464366658
ONC_BMAG001_S101618FRH	2	2929	7	2938	15884	0.81503399647444
ONC_BMAG001_S101620FRH	3	2932	3	2938	15884	0.81503399647444
ONC_BMAG001_W020792USR	0	2790	480	3270	15884	0.794132460337446
ONC_BMAG006_F020010DER	1	2883	131	3015	15884	0.810186351045077
ONC_BMAG006_F040063MIL	3	2890	128	3021	15884	0.809808612440191
ONC_BMAG006_F040089BUT	0	2926	7	2933	15884	0.815348778645178
ONC_BMAG006_F080014TOU	4	2918	40	2962	15884	0.813523042054898
ONC_BMAG006_F080015TOU	3	2926	17	2946	15884	0.814530345001259
ONC_BMAG006_F080021MER	4	2923	11	2938	15884	0.81503399647444
ONC_BMAG006_F080022MER	2	2923	20	2945	15884	0.814593301435407
ONC_BMAG006_L030067USR	1	2931	8	2940	15884	0.814908083606145
ONC_BMAG006_L030082USR	2	2926	6	2934	15884	0.81528582221103
ONC_BMAG006_L030091USR	2	2921	4	2927	15884	0.815726517250063
ONC_BMAG006_L030100USR	3	2927	5	2935	15884	0.815222865776882
ONC_BMAG006_L030105USR	1	2930	2	2933	15884	0.815348778645178
ONC_BMAG006_L030106USR	3	2929	3	2935	15884	0.815222865776882
ONC_BMAG006_L050125USR	2	2853	291	3146	15884	0.801939058171745
ONC_BMAG006_S020055DER	6	2826	338	3170	15884	0.800428103752203
ONC_BMAG006_S020061DER	5	2642	967	3614	15884	0.772475446990682
ONC_BMAG006_S080024BUT	0	2924	2	2926	15884	0.815789473684211
ONC_BMAG006_S080077BUT	1	2932	7	2940	15884	0.814908083606145
