Ind	Poss_Paralogs	Low_Coverage/Errors	Miss_Genotype	Total_Failed	Total_Loci	Prop_Success
ONC_BMAG001_F020091USR	2	3806	73	3881	18475	0.789932341001353
ONC_BMAG001_F020093USR	1	3838	30	3869	18475	0.790581867388363
ONC_BMAG001_F020137BTC	2	3814	90	3906	18475	0.788579161028417
ONC_BMAG001_F020177BTC	1	3827	19	3847	18475	0.791772665764547
ONC_BMAG001_F050084MKH	3	3836	10	3849	18475	0.791664411366712
ONC_BMAG001_F050090MKH	5	3830	23	3858	18475	0.791177266576455
ONC_BMAG001_F102938FRH	3	3610	668	4281	18475	0.768281461434371
ONC_BMAG001_F104955FRH	3	3844	2	3849	18475	0.791664411366712
ONC_BMAG001_FEM75	3	3799	90	3892	18475	0.789336941813261
ONC_BMAG001_FEM84	1	3826	15	3842	18475	0.792043301759134
ONC_BMAG001_L000001BUT	1	3835	8	3844	18475	0.791935047361299
ONC_BMAG001_L001839COL	4	3842	10	3856	18475	0.79128552097429
ONC_BMAG001_L001919COL	1	3824	33	3858	18475	0.791177266576455
ONC_BMAG001_L030007BTC	1	3832	11	3844	18475	0.791935047361299
ONC_BMAG001_L030015BTC	2	3563	844	4409	18475	0.761353179972936
ONC_BMAG001_L030085USR	5	3842	8	3855	18475	0.791339648173207
ONC_BMAG001_S050007DER	0	2783	3176	5959	18475	0.67745602165088
ONC_BMAG001_S050014MIL	2	3840	15	3857	18475	0.791231393775372
ONC_BMAG001_S050016MIL	1	3783	160	3944	18475	0.786522327469553
ONC_BMAG001_S080051BUT	2	3408	1308	4718	18475	0.744627875507442
ONC_BMAG001_S080058BUT	2	3658	615	4275	18475	0.768606224627876
ONC_BMAG001_S101618FRH	2	3835	6	3843	18475	0.791989174560217
ONC_BMAG001_S101620FRH	1	3839	3	3843	18475	0.791989174560217
ONC_BMAG001_W012017USR	2	3364	1362	4728	18475	0.744086603518268
ONC_BMAG001_W020792USR	2	3647	543	4192	18475	0.773098782138024
ONC_BMAG006_F020010DER	1	3785	151	3937	18475	0.786901217861976
ONC_BMAG006_F040063MIL	6	3793	135	3934	18475	0.787063599458728
ONC_BMAG006_F040089BUT	5	3833	9	3847	18475	0.791772665764547
ONC_BMAG006_F080014TOU	3	3830	42	3875	18475	0.790257104194858
ONC_BMAG006_F080015TOU	5	3836	17	3858	18475	0.791177266576455
ONC_BMAG006_F080021MER	4	3825	14	3843	18475	0.791989174560217
ONC_BMAG006_F080022MER	3	3834	24	3861	18475	0.791014884979702
ONC_BMAG006_L030067USR	2	3840	10	3852	18475	0.791502029769959
ONC_BMAG006_L030082USR	5	3830	8	3843	18475	0.791989174560217
ONC_BMAG006_L030091USR	1	3832	4	3837	18475	0.792313937753721
ONC_BMAG006_L030100USR	3	3831	7	3841	18475	0.792097428958051
ONC_BMAG006_L030105USR	3	3840	3	3846	18475	0.791826792963464
ONC_BMAG006_L030106USR	3	3838	4	3845	18475	0.791880920162382
ONC_BMAG006_L050125USR	4	3738	317	4059	18475	0.780297699594046
