ArchiveID	OriginalID	Species	Race	Method	SampleDate	YEAR	LocID	CollLoc	BegLongitude	BegLatitude	EndLongitude	EndLatitude	FieldPreserve	LabPreserve	Sex	ForkLength	AdClip	HeadTag	LifeStage	PhysApp	Tissue	SamplerNote	ArchiveNote	AirTemp	WaterTemp	MaturityRanking	QA/QC	CWT_Code	PIT_Tag	Hallprint	Radio_Tag	Acoustic_Tag	Total_Length	ArchivePres	depleted
U990226DLC	U990226DLC	CHIN	UNKNOWN	MIDWATER TRAWL	1/4/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER/ICE	TRIS BUFFER/-20 C	U	125	N		JUVENILE		CAUDAL						11/21/2007 LK							TRIS BUFFER/-80 C	FALSE
U000001DLC	U000001DLC	CHIN	UNKNOWN	MIDWATER TRAWL	1/18/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	194	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000002DLC	U000002DLC	CHIN	UNKNOWN	MIDWATER TRAWL	1/19/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	195	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000004DLC	U000004DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/1/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	40	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000003DLC	U000003DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/1/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	39	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000006DLC	U000006DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/3/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	139	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000005DLC	U000005DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/3/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	32	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000007DLC	U000007DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/5/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	37	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000008DLC	U000008DLC	CHIN	LATE-FALL	MIDWATER TRAWL	2/12/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	156	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000010DLC	U000010DLC	CHIN	FALL	MIDWATER TRAWL	2/17/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	54	Y		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000011DLC	U000011DLC	CHIN	FALL	MIDWATER TRAWL	2/17/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	39	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000013DLC	U000013DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/19/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	51	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000012DLC	U000012DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/19/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	44	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000015DLC	U000015DLC	CHIN	FALL	MIDWATER TRAWL	2/22/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	36	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000014DLC	U000014DLC	CHIN	FALL	MIDWATER TRAWL	2/22/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	39	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000016DLC	U000016DLC	CHIN	WINTER	MIDWATER TRAWL	2/22/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	114	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000017DLC	U000017DLC	CHIN	LATE-FALL	MIDWATER TRAWL	2/22/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	184	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000018DLC	U000018DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/24/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	108	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000022DLC	U000022DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/26/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER/ICE	TRIS BUFFER/-20 C	U	64	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000021DLC	U000021DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/26/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER/ICE	TRIS BUFFER/-20 C	U	46	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000020DLC	U000020DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/26/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER/ICE	TRIS BUFFER/-20 C	U	55	Y		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000024DLC	U000024DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/29/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	40	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000023DLC	U000023DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/29/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	56	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000026DLC	U000026DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/2/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER/ICE	TRIS BUFFER/-20 C	U	55	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000025DLC	U000025DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/2/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER/ICE	TRIS BUFFER/-20 C	U	37	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000028DLC	U000028DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/4/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	41	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000027DLC	U000027DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/4/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	118	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000032DLC	U000032DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/7/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	90	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000031DLC	U000031DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/7/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	70	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
