LIB_ID	LIB	SAMPLE_ID	RUN	YEAR	INDV	LOCATION
ONC_BMAG001_F020091USR	BMAG001	F020091USR	F	20002	0091	USR
ONC_BMAG001_F020093USR	BMAG001	F020093USR	F	20002	0093	USR
ONC_BMAG001_F020137BTC	BMAG001	F020137BTC	F	20002	0137	BTC
ONC_BMAG001_F020177BTC	BMAG001	F020177BTC	F	20002	0177	BTC
ONC_BMAG001_F050084MKH	BMAG001	F050084MKH	F	20005	0084	MKH
ONC_BMAG001_F050090MKH	BMAG001	F050090MKH	F	20005	0090	MKH
ONC_BMAG001_F102938FRH	BMAG001	F102938FRH	F	20010	2938	FRH
ONC_BMAG001_F104955FRH	BMAG001	F104955FRH	F	20010	4955	FRH
ONC_BMAG001_L000001BUT	BMAG001	L000001BUT	L	20000	0001	BUT
ONC_BMAG001_L001839COL	BMAG001	L001839COL	L	20000	1839	COL
ONC_BMAG001_L001919COL	BMAG001	L001919COL	L	20000	1919	COL
ONC_BMAG001_L030007BTC	BMAG001	L030007BTC	L	20003	0007	BTC
ONC_BMAG001_L030015BTC	BMAG001	L030015BTC	L	20003	0015	BTC
ONC_BMAG001_L030085USR	BMAG001	L030085USR	L	20003	0085	USR
ONC_BMAG001_S050007DER	BMAG001	S050007DER	S	20005	0007	DER
ONC_BMAG001_S050014MIL	BMAG001	S050014MIL	S	20005	0014	MIL
ONC_BMAG001_S050016MIL	BMAG001	S050016MIL	S	20005	0016	MIL
ONC_BMAG001_S080051BUT	BMAG001	S080051BUT	S	20008	0051	BUT
ONC_BMAG001_S080058BUT	BMAG001	S080058BUT	S	20008	0058	BUT
ONC_BMAG001_S101618FRH	BMAG001	S101618FRH	S	20010	1618	FRH
ONC_BMAG001_S101620FRH	BMAG001	S101620FRH	S	20010	1620	FRH
ONC_BMAG001_W012017USR	BMAG001	W012017USR	W	20001	2017	USR
ONC_BMAG001_W020792USR	BMAG001	W020792USR	W	20002	0792	USR
ONC_BMAG006_F020010DER	BMAG006	F020010DER	F	20002	0010	DER
ONC_BMAG006_F040063MIL	BMAG006	F040063MIL	F	20004	0063	MIL
ONC_BMAG006_F040089BUT	BMAG006	F040089BUT	F	20004	0089	BUT
ONC_BMAG006_F080014TOU	BMAG006	F080014TOU	F	20008	0014	TOU
ONC_BMAG006_F080015TOU	BMAG006	F080015TOU	F	20008	0015	TOU
ONC_BMAG006_F080021MER	BMAG006	F080021MER	F	20008	0021	MER
ONC_BMAG006_F080022MER	BMAG006	F080022MER	F	20008	0022	MER
ONC_BMAG006_L030067USR	BMAG006	L030067USR	L	20003	0067	USR
ONC_BMAG006_L030082USR	BMAG006	L030082USR	L	20003	0082	USR
ONC_BMAG006_L030091USR	BMAG006	L030091USR	L	20003	0091	USR
ONC_BMAG006_L030100USR	BMAG006	L030100USR	L	20003	0100	USR
ONC_BMAG006_L030105USR	BMAG006	L030105USR	L	20003	0105	USR
ONC_BMAG006_L030106USR	BMAG006	L030106USR	L	20003	0106	USR
ONC_BMAG006_L050125USR	BMAG006	L050125USR	L	20005	0125	USR
ONC_BMAG006_S020055DER	BMAG006	S020055DER	S	20002	0055	DER
ONC_BMAG006_S020061DER	BMAG006	S020061DER	S	20002	0061	DER
ONC_BMAG006_S080024BUT	BMAG006	S080024BUT	S	20008	0024	BUT
ONC_BMAG006_S080077BUT	BMAG006	S080077BUT	S	20008	0077	BUT
ONC_BMAG006_S090170FRH	BMAG006	S090170FRH	S	20009	0170	FRH
