ArchiveID	OriginalID	Species	SampleRace	Method	SampleDate	LocID	CollLoc	Sex	ForkLength	AdClip	LifeStage	Tissue	SamplerNote	ArchiveNote	FieldPreserve	ARCHIVE PRESERVE	DEPLETED
U000001DLC	U000001DLC	CHIN	UNKNOWN	MIDWATER TRAWL	1/18/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	194	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000002DLC	U000002DLC	CHIN	UNKNOWN	MIDWATER TRAWL	1/19/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	195	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000003DLC	U000003DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/1/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	39	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000004DLC	U000004DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/1/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	40	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000005DLC	U000005DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/3/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	32	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000006DLC	U000006DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/3/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	139	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000007DLC	U000007DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/5/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	37	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000008DLC	U000008DLC	CHIN	LATE-FALL	MIDWATER TRAWL	2/12/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	156	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000009DLC	U000009DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/17/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	44	N	JUVENILE	CAUDAL	NO TISSUE IN VIAL	DISCARDED	TRIS BUFFER	TRIS BUFFER/-20 C	TRUE
U000010DLC	U000010DLC	CHIN	FALL	MIDWATER TRAWL	2/17/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	54	Y	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000011DLC	U000011DLC	CHIN	FALL	MIDWATER TRAWL	2/17/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	39	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000012DLC	U000012DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/19/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	44	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000013DLC	U000013DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/19/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	51	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000014DLC	U000014DLC	CHIN	FALL	MIDWATER TRAWL	2/22/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	39	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000015DLC	U000015DLC	CHIN	FALL	MIDWATER TRAWL	2/22/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	36	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000016DLC	U000016DLC	CHIN	WINTER	MIDWATER TRAWL	2/22/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	114	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000017DLC	U000017DLC	CHIN	LATE-FALL	MIDWATER TRAWL	2/22/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	184	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000018DLC	U000018DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/24/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	108	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000019DLC	U000019DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/24/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	40	N	JUVENILE	CAUDAL	NO TISSUE IN VIAL	DISCARDED	TRIS BUFFER	TRIS BUFFER/-20 C	TRUE
U000020DLC	U000020DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/26/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	55	Y	JUVENILE	CAUDAL			TRIS BUFFER/ICE	TRIS BUFFER/-20 C	FALSE
U000021DLC	U000021DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/26/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	46	N	JUVENILE	CAUDAL			TRIS BUFFER/ICE	TRIS BUFFER/-20 C	FALSE
U000022DLC	U000022DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/26/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	64	N	JUVENILE	CAUDAL			TRIS BUFFER/ICE	TRIS BUFFER/-20 C	FALSE
U000023DLC	U000023DLC	CHIN	UNKNOWN	MIDWATER TRAWL	2/29/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	56	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
