YEAR	MONTH	DAY	SAMPLE_ID	SAMPLE_DATE	JULIAN_DAY	Race	FL	AdClip	RUN_TYPE
2011	JUNE	1	U112379DLC	2011-06-01	152	UNKNOWN	102	N	FALL
2011	JUNE	1	U112346DLC	2011-06-01	152	UNKNOWN	91	N	FALL
2011	JUNE	1	U112374DLC	2011-06-01	152	UNKNOWN	97	N	FALL
2011	JUNE	1	U112385DLC	2011-06-01	152	UNKNOWN	93	N	FALL
2011	JUNE	1	U112368DLC	2011-06-01	152	UNKNOWN	83	N	FALL
2011	JUNE	1	U112378DLC	2011-06-01	152	UNKNOWN	84	N	FALL
2011	JUNE	1	U112326DLC	2011-06-01	152	UNKNOWN	87	N	FALL
2011	JUNE	1	U112317DLC	2011-06-01	152	UNKNOWN	93	N	FALL
2011	JUNE	1	U112318DLC	2011-06-01	152	UNKNOWN	91	N	FALL
2011	JUNE	1	U112324DLC	2011-06-01	152	UNKNOWN	76	N	FALL
2011	JUNE	1	U112372DLC	2011-06-01	152	UNKNOWN	90	N	FALL
2011	JUNE	1	U112371DLC	2011-06-01	152	UNKNOWN	84	N	FALL
2011	JUNE	1	U112341DLC	2011-06-01	152	UNKNOWN	100	N	FALL
2011	JUNE	1	U112331DLC	2011-06-01	152	UNKNOWN	100	N	FALL
2011	JUNE	1	U112322DLC	2011-06-01	152	UNKNOWN	93	N	FALL
2011	JUNE	1	U112382DLC	2011-06-01	152	UNKNOWN	83	N	FALL
2011	JUNE	1	U112369DLC	2011-06-01	152	UNKNOWN	85	N	FALL
2011	JUNE	1	U112377DLC	2011-06-01	152	UNKNOWN	95	N	FALL
2011	JUNE	1	U112339DLC	2011-06-01	152	UNKNOWN	92	N	FALL
2011	MAY	2	U111020DLC	2011-05-02	122	UNKNOWN	78	N	FALL
2011	MAY	2	U110978DLC	2011-05-02	122	UNKNOWN	83	N	FALL
2011	MAY	2	U110984DLC	2011-05-02	122	UNKNOWN	82	N	FALL
2011	MAY	2	U111012DLC	2011-05-02	122	UNKNOWN	83	N	FALL
