LIBRARY	SAMPLE_ID
BMAG002 L030092USR
BMAG002 S020064DER
BMAG002 S020024MIL
BMAG002 F040071MIL
BMAG002 F080026MER
BMAG002 L030094USR
BMAG002 S020067DER
BMAG002 S020025MIL
BMAG002 F040074MIL
BMAG002 F080027MER
BMAG002 L030096USR
BMAG002 S020070DER
BMAG002 S020027MIL
BMAG002 F040095BUT
BMAG002 F080028MER
BMAG002 L030097USR
BMAG002 S020078DER
BMAG002 S020028MIL
BMAG002 F040106BUT
BMAG002 S080095BUT
BMAG002 S090012FRH
BMAG002 F020020DER
BMAG002 F040107BUT
BMAG002 S080097BUT
BMAG002 S090013FRH
BMAG002 F020022DER
BMAG002 F080018TOU
BMAG002 S080105BUT
BMAG002 S090168FRH
BMAG002 F020026DER
BMAG002 F080019TOU
BMAG002 S080107BUT
BMAG002 S090169FRH
BMAG002 F040054MIL
BMAG002 F080020TOU
BMAG006 F040089BUT
BMAG006 F020010DER
BMAG006 F080021MER
BMAG006 F080022MER
BMAG006 F040063MIL
BMAG006 F080014TOU
BMAG006 F080015TOU
BMAG006 L030067USR
BMAG006 L030082USR
BMAG006 L030091USR
BMAG006 L030100USR
BMAG006 L030105USR
BMAG006 L030106USR
BMAG006 L050125USR
BMAG006 S080024BUT
BMAG006 S080077BUT
BMAG006 S020055DER
BMAG006 S020061DER
BMAG006 S090170FRH
BMAG006 S020029MIL
BMAG006 S020040MIL
BMAG006 W011922USR
BMAG006 W011924USR
BMAG006 W011927USR
BMAG006 W011929USR
BMAG006 W011933USR
BMAG006 W011934USR
BMAG006 W011935USR
BMAG007 F080017MER
BMAG007 F080018MER
BMAG007 F080023MER
BMAG007 F080024MER
BMAG007 F080025MER
BMAG007 F080009TOU
BMAG007 F080012TOU
BMAG007 F080016TOU
BMAG007 F080017TOU
BMAG007 S080015BUT
BMAG007 S080019BUT
BMAG007 S090153BUT
BMAG007 S020004DER
BMAG007 S020022DER
BMAG007 S020023DER
BMAG007 S020039DER
BMAG007 S020041DER
BMAG007 S020045DER
BMAG007 S050054DER
BMAG007 S090010FRH
BMAG007 S090011FRH
BMAG007 S090171FRH
BMAG007 S090172FRH
BMAG007 S020034MIL
BMAG007 S020035MIL
BMAG007 S020036MIL
BMAG007 S020041MIL
BMAG007 L040121USR
BMAG007 L040122USR
BMAG007 L050141USR
BMAG007 L050143USR
BMAG007 L050145USR
BMAG007 L050151USR
BMAG007 MaleB11200
BMAG007 MaleB11240
BMAG020 F020134COL
BMAG020 F020135COL
BMAG020 F020136COL
BMAG020 F020137COL
BMAG020 F020139COL
BMAG020 F020141COL
BMAG020 F020143COL
BMAG020 F020145COL
BMAG020 F020146COL
BMAG020 F020147COL
BMAG020 F020148COL
BMAG020 F020149COL
BMAG020 F020152COL
BMAG020 F020153COL
BMAG020 F020155COL
BMAG020 F020157COL
BMAG020 F020159COL
BMAG020 F020160COL
BMAG020 F020161COL
BMAG020 F020165COL
BMAG020 F020166COL
BMAG020 F020167COL
BMAG020 F083161FRH
BMAG020 F083162FRH
BMAG020 F071595FRH
BMAG020 F071736FRH
BMAG020 F071737FRH
BMAG020 F098645FRH
BMAG020 F098646FRH
BMAG020 F080136MKH
BMAG020 F080137MKH
BMAG020 F080158MKH
BMAG020 F050019MKH
BMAG020 F050034MKH
BMAG020 F050035MKH
BMAG020 F050073MKH
BMAG020 F020086NIM
BMAG020 F020087NIM
BMAG020 F020088NIM
BMAG020 F050024NIM
BMAG020 F050055NIM
BMAG020 F050056NIM
BMAG020 F050057NIM
BMAG020 F050080NIM
BMAG020 F050081NIM
BMAG021 F020133COL
BMAG021 F020140COL
