rad_haplotyper -v ONC.recode.vcf -b mapped_filtered.bed --genomic_ref -r reference.fasta -x 35 -d 10 -z 3 -m .25 -g ONC.gen -p popmap -e --vcfout ONC.haplotyped.vcf
Locus	Sites	Haplotypes	Inds_Haplotyped	Total_Inds	Prop_Haplotyped	Status	Poss_Paralog	Low_Cov/Geno_Err	Miss_Geno	Comment
Contig_10484	1	2	378	408	0.926	PASSED	0	0	30	
Contig_11050	1	2	391	408	0.958	PASSED	0	0	17	
Contig_3558	1	2	399	408	0.978	PASSED	0	0	9	
Contig_12059	1	2	384	408	0.941	PASSED	0	0	24	
Contig_6441	1	2	388	408	0.951	PASSED	0	0	20	
Contig_14048	1	2	383	408	0.939	PASSED	0	0	25	
Contig_11830	1	2	394	408	0.966	PASSED	0	0	14	
Contig_3439	2	4	356	408	0.873	PASSED	12	0	40	
Contig_6747	0	0	0	408	0.000	FILTERED	0	368	40	Missing data
Contig_11691	0	0	0	408	0.000	FILTERED	0	378	30	Missing data
Contig_9808	1	2	401	408	0.983	PASSED	0	0	7	
Contig_15661	1	2	387	408	0.949	PASSED	0	0	21	
Contig_12872	2	3	392	408	0.961	PASSED	0	0	16	
Contig_2531	2	3	370	408	0.907	PASSED	0	0	38	
Contig_2526	1	2	384	408	0.941	PASSED	0	0	24	
Contig_13825	1	2	371	408	0.909	PASSED	0	0	37	
Contig_2959	2	3	374	408	0.917	PASSED	0	0	34	
Contig_15696	0	0	0	408	0.000	FILTERED	0	352	56	Missing data
Contig_13897	1	2	391	408	0.958	PASSED	0	0	17	
Contig_11566	0	0	0	408	0.000	FILTERED	0	378	30	Missing data
Contig_15059	1	2	396	408	0.971	PASSED	0	0	12	
Contig_2101	0	0	0	408	0.000	FILTERED	0	382	26	Missing data
Contig_4181	2	3	376	408	0.922	PASSED	0	0	32	
Contig_2659	0	0	0	408	0.000	FILTERED	0	353	55	Missing data
Contig_12945	1	2	383	408	0.939	PASSED	0	0	25	
Contig_8932	1	2	404	408	0.990	PASSED	0	0	4	
Contig_8447	1	2	397	408	0.973	PASSED	0	0	11	
Contig_7508	0	0	0	408	0.000	FILTERED	0	365	43	Missing data
Contig_2798	1	2	395	408	0.968	PASSED	0	0	13	
Contig_6684	1	2	388	408	0.951	PASSED	0	0	20	
Contig_11486	2	3	372	408	0.912	PASSED	1	0	35	
Contig_6100	1	2	382	408	0.936	PASSED	0	0	26	
Contig_12249	1	2	392	408	0.961	PASSED	0	0	16	
Contig_27	0	0	0	408	0.000	FILTERED	0	364	44	Missing data
Contig_4640	1	2	377	408	0.924	PASSED	0	0	31	
Contig_750	1	2	379	408	0.929	PASSED	0	0	29	
Contig_14877	1	2	380	408	0.931	PASSED	0	0	28	
Contig_7817	0	0	0	408	0.000	FILTERED	0	355	53	Missing data
Contig_3897	1	2	378	408	0.926	PASSED	0	0	30	
Contig_1304	1	2	383	408	0.939	PASSED	0	0	25	
Contig_9613	1	2	400	408	0.980	PASSED	0	0	8	
Contig_8019	0	0	0	408	0.000	FILTERED	0	374	34	Missing data
Contig_7849	1	2	395	408	0.968	PASSED	0	0	13	
Contig_3158	1	2	387	408	0.949	PASSED	0	0	21	
Contig_5139	1	2	378	408	0.926	PASSED	0	0	30	
Contig_316	1	2	369	408	0.904	PASSED	0	0	39	
Contig_1290	1	2	380	408	0.931	PASSED	0	0	28	
Contig_1887	1	2	385	408	0.944	PASSED	0	0	23	
Contig_4778	0	0	0	408	0.000	FILTERED	0	378	30	Missing data
Contig_15026	2	4	392	408	0.961	PASSED	2	0	14	
Contig_12538	0	0	0	408	0.000	FILTERED	0	384	24	Missing data
Contig_9912	1	2	374	408	0.917	PASSED	0	0	34	
Contig_10563	1	2	395	408	0.968	PASSED	0	0	13	
Contig_5842	1	2	397	408	0.973	PASSED	0	0	11	
Contig_2855	1	2	390	408	0.956	PASSED	0	0	18	
Contig_9825	1	2	378	408	0.926	PASSED	0	0	30	
Contig_7825	1	2	386	408	0.946	PASSED	0	0	22	
Contig_9494	2	3	381	408	0.934	PASSED	0	1	26	
Contig_661	2	3	389	408	0.953	PASSED	0	0	19	
Contig_13892	1	2	376	408	0.922	PASSED	0	0	32	
Contig_14311	0	0	0	408	0.000	FILTERED	0	351	57	Missing data
Contig_4520	1	2	392	408	0.961	PASSED	0	0	16	
Contig_14	1	2	392	408	0.961	PASSED	0	0	16	
Contig_3440	1	2	391	408	0.958	PASSED	0	0	17	
Contig_12600	3	4	379	408	0.929	PASSED	1	15	13	
Contig_1238	1	2	378	408	0.926	PASSED	0	0	30	
Contig_3096	1	2	397	408	0.973	PASSED	0	0	11	
Contig_3704	1	2	394	408	0.966	PASSED	0	0	14	
Contig_14528	1	2	372	408	0.912	PASSED	0	0	36	
Contig_249	1	2	383	408	0.939	PASSED	0	0	25	
Contig_1190	2	3	372	408	0.912	PASSED	0	0	36	
Contig_12544	1	2	380	408	0.931	PASSED	0	0	28	
Contig_9899	1	2	371	408	0.909	PASSED	0	0	37	
Contig_14109	1	2	378	408	0.926	PASSED	0	0	30	
Contig_15634	1	2	378	408	0.926	PASSED	0	0	30	
Contig_12428	0	0	0	408	0.000	FILTERED	0	376	32	Missing data
Contig_6383	0	0	0	408	0.000	FILTERED	0	372	36	Missing data
Contig_9678	0	0	0	408	0.000	FILTERED	0	356	52	Missing data
Contig_5359	1	2	385	408	0.944	PASSED	0	0	23	
Contig_14496	1	2	391	408	0.958	PASSED	0	0	17	
Contig_7447	3	4	358	408	0.877	PASSED	9	0	41	
Contig_10621	0	0	0	408	0.000	FILTERED	0	363	45	Missing data
Contig_1694	3	3	381	408	0.934	PASSED	0	0	27	
Contig_2957	1	2	375	408	0.919	PASSED	0	0	33	
Contig_644	1	2	392	408	0.961	PASSED	0	0	16	
Contig_5329	1	2	381	408	0.934	PASSED	0	0	27	
Contig_3047	1	2	386	408	0.946	PASSED	0	0	22	
Contig_1805	1	2	392	408	0.961	PASSED	0	0	16	
Contig_8343	2	3	376	408	0.922	PASSED	0	1	31	
Contig_7623	1	2	371	408	0.909	PASSED	0	0	37	
Contig_8730	2	3	380	408	0.931	PASSED	0	0	28	
Contig_9338	2	3	373	408	0.914	PASSED	0	2	33	
Contig_10533	1	2	385	408	0.944	PASSED	0	0	23	
Contig_4719	1	2	375	408	0.919	PASSED	0	0	33	
Contig_3890	1	2	396	408	0.971	PASSED	0	0	12	
Contig_13040	1	2	381	408	0.934	PASSED	0	0	27	
Contig_13918	0	0	0	408	0.000	FILTERED	0	370	38	Missing data
Contig_12019	0	0	0	408	0.000	FILTERED	0	383	25	Missing data
Contig_4437	1	2	401	408	0.983	PASSED	0	0	7	
Contig_6815	1	2	376	408	0.922	PASSED	0	0	32	
Contig_1661	1	2	387	408	0.949	PASSED	0	0	21	
Contig_6468	2	3	398	408	0.975	PASSED	0	0	10	
Contig_5846	1	2	384	408	0.941	PASSED	0	0	24	
Contig_12691	0	0	0	408	0.000	FILTERED	0	379	29	Missing data
Contig_15601	1	2	371	408	0.909	PASSED	0	0	37	
Contig_12759	1	2	387	408	0.949	PASSED	0	0	21	
Contig_8217	0	0	0	408	0.000	FILTERED	0	352	56	Missing data
Contig_7106	1	2	389	408	0.953	PASSED	0	0	19	
Contig_6724	0	0	0	408	0.000	FILTERED	0	368	40	Missing data
Contig_9949	1	2	373	408	0.914	PASSED	0	0	35	
Contig_13508	1	2	377	408	0.924	PASSED	0	0	31	
Contig_7912	1	2	382	408	0.936	PASSED	0	0	26	
Contig_4763	1	2	368	408	0.902	PASSED	0	0	40	
Contig_356	1	2	385	408	0.944	PASSED	0	0	23	
Contig_4911	1	2	379	408	0.929	PASSED	0	0	29	
Contig_6957	1	2	392	408	0.961	PASSED	0	0	16	
Contig_6023	2	3	394	408	0.966	PASSED	0	0	14	
Contig_14470	1	2	387	408	0.949	PASSED	0	0	21	
Contig_209	0	0	0	408	0.000	FILTERED	0	365	43	Missing data
Contig_12001	4	6	397	408	0.973	PASSED	0	0	11	
Contig_5366	1	2	387	408	0.949	PASSED	0	0	21	
Contig_15753	0	0	0	408	0.000	FILTERED	0	362	46	Missing data
Contig_11277	1	2	389	408	0.953	PASSED	0	0	19	
Contig_2891	1	2	373	408	0.914	PASSED	0	0	35	
Contig_12838	0	0	0	408	0.000	FILTERED	0	371	37	Missing data
Contig_6737	1	2	392	408	0.961	PASSED	0	0	16	
Contig_11917	1	2	380	408	0.931	PASSED	0	0	28	
Contig_5689	0	0	0	408	0.000	FILTERED	0	366	42	Missing data
Contig_460	1	2	387	408	0.949	PASSED	0	0	21	
Contig_13224	1	2	392	408	0.961	PASSED	0	0	16	
Contig_13886	1	2	373	408	0.914	PASSED	0	0	35	
Contig_965	1	2	385	408	0.944	PASSED	0	0	23	
