rad_haplotyper -v ONC.recode.vcf -b mapped_filtered.bed -r reference.fasta -x 30 -d 10 -z 3 -m .25 -g ONC.gen -p popmap -e --vcfout ONC.haplotyped.vcf
Locus	Sites	Haplotypes	Inds_Haplotyped	Total_Inds	Prop_Haplotyped	Status	Poss_Paralog	Low_Cov/Geno_Err	Miss_Geno	Comment
Contig_1	1	2	391	413	0.947	PASSED	0	0	22	
Contig_100022	1	2	380	413	0.920	PASSED	0	0	33	
Contig_100028	1	1	393	413	0.952	PASSED	0	0	20	
Contig_100029	0	0	0	413	0.000	FILTERED	0	376	37	Missing data
Contig_100039	1	2	395	413	0.956	PASSED	0	0	18	
Contig_100050	2	3	400	413	0.969	PASSED	0	0	13	
Contig_100054	1	2	380	413	0.920	PASSED	0	0	33	
Contig_100058	0	0	0	413	0.000	FILTERED	0	381	32	Missing data
Contig_10006	0	0	0	413	0.000	FILTERED	0	385	28	Missing data
Contig_100064	5	5	391	413	0.947	PASSED	2	3	17	
Contig_100071	0	0	0	413	0.000	FILTERED	0	373	40	Missing data
Contig_100074	0	0	0	413	0.000	FILTERED	0	362	51	Missing data
Contig_100077	0	0	0	413	0.000	FILTERED	0	378	35	Missing data
Contig_10008	1	1	398	413	0.964	PASSED	0	0	15	
Contig_100086	1	2	391	413	0.947	PASSED	0	0	22	
Contig_100094	1	2	393	413	0.952	PASSED	0	0	20	
Contig_100099	1	2	386	413	0.935	PASSED	0	0	27	
Contig_100103	2	3	380	413	0.920	PASSED	0	3	30	
Contig_100115	1	2	396	413	0.959	PASSED	0	0	17	
Contig_100122	1	2	387	413	0.937	PASSED	0	0	26	
Contig_100124	1	2	392	413	0.949	PASSED	0	0	21	
Contig_100151	1	2	382	413	0.925	PASSED	0	0	31	
Contig_100154	3	3	377	413	0.913	PASSED	0	0	36	
Contig_100155	1	2	386	413	0.935	PASSED	0	0	27	
Contig_100158	1	1	395	413	0.956	PASSED	0	0	18	
Contig_100160	1	2	400	413	0.969	PASSED	0	0	13	
Contig_100165	0	0	0	413	0.000	FILTERED	0	372	41	Missing data
Contig_100167	1	2	386	413	0.935	PASSED	0	0	27	
Contig_100170	2	2	395	413	0.956	PASSED	0	1	17	
Contig_100177	1	2	379	413	0.918	PASSED	0	0	34	
Contig_100180	0	0	0	413	0.000	FILTERED	0	365	48	Missing data
Contig_100182	2	1	1	413	0.002	FILTERED	0	371	41	Missing data
Contig_100183	1	2	379	413	0.918	PASSED	0	0	34	
Contig_100185	1	2	391	413	0.947	PASSED	0	0	22	
Contig_100203	1	2	401	413	0.971	PASSED	0	0	12	
Contig_100207	1	2	387	413	0.937	PASSED	0	0	26	
Contig_10021	1	2	401	413	0.971	PASSED	0	0	12	
Contig_100210	1	2	392	413	0.949	PASSED	0	0	21	
Contig_100215	1	2	396	413	0.959	PASSED	0	0	17	
Contig_100217	0	0	0	413	0.000	FILTERED	0	362	51	Missing data
Contig_100218	0	0	0	413	0.000	FILTERED	0	367	46	Missing data
Contig_100220	2	4	379	413	0.918	PASSED	0	0	34	
Contig_100222	1	2	403	413	0.976	PASSED	0	0	10	
Contig_100230	0	0	0	413	0.000	FILTERED	0	361	52	Missing data
Contig_100235	1	1	375	413	0.908	PASSED	0	0	38	
Contig_100259	1	2	384	413	0.930	PASSED	0	0	29	
Contig_10026	1	2	399	413	0.966	PASSED	0	0	14	
Contig_100261	1	2	388	413	0.939	PASSED	0	0	25	
Contig_100264	1	2	389	413	0.942	PASSED	0	0	24	
Contig_100268	0	0	0	413	0.000	FILTERED	0	380	33	Missing data
Contig_100272	2	2	385	413	0.932	PASSED	0	0	28	
Contig_100291	0	0	0	413	0.000	FILTERED	0	361	52	Missing data
Contig_100298	2	3	396	413	0.959	PASSED	0	0	17	
Contig_100300	0	0	0	413	0.000	FILTERED	0	385	28	Missing data
Contig_100303	1	2	405	413	0.981	PASSED	0	0	8	
Contig_100325	2	3	393	413	0.952	PASSED	0	0	20	
